Noise strength	Property	Cosine simmilarity	Loss
0.05	translation	0.5901455879211426	MSE
0.1	translation	0.5830103158950806	MSE
0.2	translation	0.556885838508606	MSE
0.30000000000000004	translation	0.4830014705657959	MSE
0.4	translation	0.3473072946071625	MSE
0.5	translation	0.17380225658416748	MSE
0.6	translation	0.09578605741262436	MSE
0.7000000000000001	translation	0.039808906614780426	MSE
0.8	translation	0.01465978566557169	MSE
0.9	translation	0.013606981374323368	MSE
1.0	translation	0.008830899372696877	MSE
0.05	scale	0.170166015625	MSE
0.1	scale	0.148681640625	MSE
0.2	scale	0.15961970388889313	MSE
0.30000000000000004	scale	0.14450301229953766	MSE
0.4	scale	0.11083804816007614	MSE
0.5	scale	0.056932538747787476	MSE
0.6	scale	0.03754279762506485	MSE
0.7000000000000001	scale	0.009635557420551777	MSE
0.8	scale	-0.0016461820341646671	MSE
0.9	scale	-0.00782050471752882	MSE
1.0	scale	-0.007049321662634611	MSE
0.05	rotation	0.21341320872306824	MSE
0.1	rotation	0.14230133593082428	MSE
0.2	rotation	0.049177832901477814	MSE
0.30000000000000004	rotation	0.020882584154605865	MSE
0.4	rotation	0.015949945896863937	MSE
0.5	rotation	0.003740697167813778	MSE
0.6	rotation	-0.0010649468749761581	MSE
0.7000000000000001	rotation	-0.008289171382784843	MSE
0.8	rotation	-0.009248781949281693	MSE
0.9	rotation	0.007966706529259682	MSE
1.0	rotation	0.0008225396741181612	MSE
0.05	color	0.1328338384628296	MSE
0.1	color	0.12704163789749146	MSE
0.2	color	0.13622522354125977	MSE
0.30000000000000004	color	0.14365044236183167	MSE
0.4	color	0.16637806594371796	MSE
0.5	color	0.15128736197948456	MSE
0.6	color	0.19929778575897217	MSE
0.7000000000000001	color	0.22263512015342712	MSE
0.8	color	0.24068167805671692	MSE
0.9	color	0.2566240131855011	MSE
1.0	color	0.2665284276008606	MSE
0.05	shape	0.018953414633870125	MSE
0.1	shape	0.013526443392038345	MSE
0.2	shape	0.013796261511743069	MSE
0.30000000000000004	shape	0.01877131499350071	MSE
0.4	shape	0.018279675394296646	MSE
0.5	shape	0.015275887213647366	MSE
0.6	shape	0.011474528349936008	MSE
0.7000000000000001	shape	0.007339506410062313	MSE
0.8	shape	0.0045342715457081795	MSE
0.9	shape	0.0067574805580079556	MSE
1.0	shape	0.00383249600417912	MSE
0.05	background	0.8898031711578369	MSE
0.1	background	0.8641630411148071	MSE
0.2	background	0.8461437225341797	MSE
0.30000000000000004	background	0.852238118648529	MSE
0.4	background	0.8715783357620239	MSE
0.5	background	0.8767589330673218	MSE
0.6	background	0.9022101759910583	MSE
0.7000000000000001	background	0.921396017074585	MSE
0.8	background	0.9349311590194702	MSE
0.9	background	0.9446525573730469	MSE
1.0	background	0.9529980421066284	MSE
0.05	translation	0.5894480347633362	MAE
0.1	translation	0.58916836977005	MAE
0.2	translation	0.5706712007522583	MAE
0.30000000000000004	translation	0.4963248074054718	MAE
0.4	translation	0.3629552721977234	MAE
0.5	translation	0.16809561848640442	MAE
0.6	translation	0.08807781338691711	MAE
0.7000000000000001	translation	0.05232620984315872	MAE
0.8	translation	0.02449553646147251	MAE
0.9	translation	0.015120599418878555	MAE
1.0	translation	0.009935947135090828	MAE
0.05	scale	0.178466796875	MAE
0.1	scale	0.161376953125	MAE
0.2	scale	0.1551719307899475	MAE
0.30000000000000004	scale	0.1378965675830841	MAE
0.4	scale	0.10219468921422958	MAE
0.5	scale	0.049090538173913956	MAE
0.6	scale	0.03901107981801033	MAE
0.7000000000000001	scale	0.016342852264642715	MAE
0.8	scale	-0.0066491542384028435	MAE
0.9	scale	-0.015665553510189056	MAE
1.0	scale	-0.011114810593426228	MAE
0.05	rotation	0.18965406715869904	MAE
0.1	rotation	0.14637000858783722	MAE
0.2	rotation	0.050295162945985794	MAE
0.30000000000000004	rotation	0.015837544575333595	MAE
0.4	rotation	0.021333521232008934	MAE
0.5	rotation	-0.013300107792019844	MAE
0.6	rotation	-0.023608114570379257	MAE
0.7000000000000001	rotation	-0.010027690790593624	MAE
0.8	rotation	-0.00969260185956955	MAE
0.9	rotation	0.006681906059384346	MAE
1.0	rotation	0.007560772821307182	MAE
0.05	color	0.5532283186912537	MAE
0.1	color	0.5177342891693115	MAE
0.2	color	0.3917272984981537	MAE
0.30000000000000004	color	0.2818005681037903	MAE
0.4	color	0.2282763570547104	MAE
0.5	color	0.15851256251335144	MAE
0.6	color	0.1877264827489853	MAE
0.7000000000000001	color	0.20259404182434082	MAE
0.8	color	0.2141055315732956	MAE
0.9	color	0.22573819756507874	MAE
1.0	color	0.23734459280967712	MAE
0.05	shape	0.015704937279224396	MAE
0.1	shape	0.01192184817045927	MAE
0.2	shape	0.012980968691408634	MAE
0.30000000000000004	shape	0.01839994080364704	MAE
0.4	shape	0.01708250492811203	MAE
0.5	shape	0.014373010955750942	MAE
0.6	shape	0.008894599042832851	MAE
0.7000000000000001	shape	0.006508931517601013	MAE
0.8	shape	0.004429403226822615	MAE
0.9	shape	0.005820124410092831	MAE
1.0	shape	0.0028545374516397715	MAE
0.05	background	0.8660526275634766	MAE
0.1	background	0.8640546202659607	MAE
0.2	background	0.8594036102294922	MAE
0.30000000000000004	background	0.8547430634498596	MAE
0.4	background	0.8525624871253967	MAE
0.5	background	0.8504000902175903	MAE
0.6	background	0.8550320267677307	MAE
0.7000000000000001	background	0.8606349229812622	MAE
0.8	background	0.8668622970581055	MAE
0.9	background	0.8722612857818604	MAE
1.0	background	0.8766028881072998	MAE
