Noise strength	unoptimized	optimized
0.05	0.0055941008031368256	3.6141357213637093e-06
0.1	0.012249610386788845	4.3116187953273766e-06
0.2	0.02589259296655655	8.014171908143908e-05
0.30000000000000004	0.039440643042325974	0.0008512813947163522
0.4	0.05293797701597214	0.003173409029841423
0.5	0.06665698438882828	0.012708096764981747
0.6	0.08444047719240189	0.014913293533027172
0.7000000000000001	0.10124325007200241	0.016837820410728455
0.8	0.12061423063278198	0.018092522397637367
0.9	0.1426793485879898	0.019661489874124527
1.0	0.1677401214838028	0.02078130841255188
